Old Ward Code,New ward code,Ward,Borough,GCSE point scores - 2011,Public Transport Accessibility - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGF,E05000069,Christchurch,Bexley,375,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGG,E05000070,Colyers,Bexley,342,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGH,E05000071,Crayford,Bexley,336,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGJ,E05000072,Cray Meadows,Bexley,352,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGK,E05000073,Danson Park,Bexley,356,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGL,E05000074,East Wickham,Bexley,346,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGM,E05000075,Erith,Bexley,337,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGN,E05000076,Falconwood and Welling,Bexley,344,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGP,E05000077,Lesnes Abbey,Bexley,335,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGQ,E05000078,Longlands,Bexley,374,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGR,E05000079,North End,Bexley,322,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGS,E05000080,Northumberland Heath,Bexley,350,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGT,E05000081,St Mary's,Bexley,376,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGU,E05000082,St Michael's,Bexley,352,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGW,E05000083,Sidcup,Bexley,370,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ADGX,E05000084,Thamesmead East,Bexley,348,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGJ,E05000085,Alperton,Brent,332,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGK,E05000086,Barnhill,Brent,355,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGL,E05000087,Brondesbury Park,Brent,340,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGM,E05000088,Dollis Hill,Brent,331,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGN,E05000089,Dudden Hill,Brent,348,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGP,E05000090,Fryent,Brent,356,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGQ,E05000091,Harlesden,Brent,308,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGR,E05000092,Kensal Green,Brent,306,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGS,E05000093,Kenton,Brent,374,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGT,E05000094,Kilburn,Brent,340,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGU,E05000095,Mapesbury,Brent,333,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGW,E05000096,Northwick Park,Brent,370,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGX,E05000097,Preston,Brent,365,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGY,E05000098,Queens Park,Brent,348,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEGZ,E05000099,Queensbury,Brent,348,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEHA,E05000100,Stonebridge,Brent,323,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
