Old Ward Code,New ward code,Ward,Borough,GCSE point scores - 2011,Public Transport Accessibility - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALGZ,E05000223,Kidbrooke with Hornfair,Greenwich,322,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALHA,E05000224,Middle Park and Sutcliffe,Greenwich,330,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALHB,E05000225,Peninsula,Greenwich,326,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALHC,E05000226,Plumstead,Greenwich,328,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALHD,E05000227,Shooters Hill,Greenwich,358,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALHE,E05000228,Thamesmead Moorings,Greenwich,337,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALHF,E05000229,Woolwich Common,Greenwich,322,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ALHG,E05000230,Woolwich Riverside,Greenwich,312,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGA,E05000231,Brownswood,Hackney,328,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGB,E05000232,Cazenove,Hackney,327,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGC,E05000233,Chatham,Hackney,323,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGD,E05000234,Clissold,Hackney,346,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGE,E05000235,Dalston,Hackney,340,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGF,E05000236,De Beauvoir,Hackney,333,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGG,E05000237,Hackney Central,Hackney,341,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGH,E05000238,Hackney Downs,Hackney,332,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGJ,E05000239,Haggerston,Hackney,330,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGK,E05000240,Hoxton,Hackney,308,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGL,E05000241,King's Park,Hackney,333,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGM,E05000242,Leabridge,Hackney,320,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGN,E05000243,Lordship,Hackney,332,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGP,E05000244,New River,Hackney,324,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGQ,E05000245,Queensbridge,Hackney,320,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGR,E05000246,Springfield,Hackney,347,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGS,E05000247,Stoke Newington Central,Hackney,333,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGT,E05000248,Victoria,Hackney,325,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AMGU,E05000249,Wick,Hackney,327,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGA,E05000250,Addison,Hammersmith and Fulham,362,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGB,E05000251,Askew,Hammersmith and Fulham,351,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGC,E05000252,Avonmore and Brook Green,Hammersmith and Fulham,357,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGD,E05000253,College Park and Old Oak,Hammersmith and Fulham,341,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGE,E05000254,Fulham Broadway,Hammersmith and Fulham,351,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGF,E05000255,Fulham Reach,Hammersmith and Fulham,372,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGG,E05000256,Hammersmith Broadway,Hammersmith and Fulham,347,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGH,E05000257,Munster,Hammersmith and Fulham,357,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGJ,E05000258,North End,Hammersmith and Fulham,361,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGK,E05000259,Palace Riverside,Hammersmith and Fulham,356,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGL,E05000260,Parsons Green and Walham,Hammersmith and Fulham,341,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGM,E05000261,Ravenscourt Park,Hammersmith and Fulham,352,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGN,E05000262,Sands End,Hammersmith and Fulham,354,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGP,E05000263,Shepherd's Bush Green,Hammersmith and Fulham,351,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGQ,E05000264,Town,Hammersmith and Fulham,361,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ANGR,E05000265,Wormholt and White City,Hammersmith and Fulham,347,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGA,E05000266,Alexandra,Haringey,376,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGB,E05000267,Bounds Green,Haringey,344,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGC,E05000268,Bruce Grove,Haringey,317,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGD,E05000269,Crouch End,Haringey,368,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGE,E05000270,Fortis Green,Haringey,368,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGF,E05000271,Harringay,Haringey,334,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGG,E05000272,Highgate,Haringey,321,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGH,E05000273,Hornsey,Haringey,350,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGJ,E05000274,Muswell Hill,Haringey,382,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGK,E05000275,Noel Park,Haringey,332,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGL,E05000276,Northumberland Park,Haringey,315,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGM,E05000277,St Ann's,Haringey,337,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGN,E05000278,Seven Sisters,Haringey,327,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGP,E05000279,Stroud Green,Haringey,350,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGQ,E05000280,Tottenham Green,Haringey,314,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGR,E05000281,Tottenham Hale,Haringey,318,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGS,E05000282,West Green,Haringey,310,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGT,E05000283,White Hart Lane,Haringey,327,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00APGU,E05000284,Woodside,Haringey,339,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQFY,E05000285,Belmont,Harrow,371,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQFZ,E05000286,Canons,Harrow,358,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGA,E05000287,Edgware,Harrow,345,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGB,E05000288,Greenhill,Harrow,368,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGC,E05000289,Harrow on the Hill,Harrow,363,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGD,E05000290,Harrow Weald,Harrow,334,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGE,E05000291,Hatch End,Harrow,352,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGF,E05000292,Headstone North,Harrow,380,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGG,E05000293,Headstone South,Harrow,372,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGH,E05000294,Kenton East,Harrow,361,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGJ,E05000295,Kenton West,Harrow,375,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGK,E05000296,Marlborough,Harrow,353,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGL,E05000297,Pinner,Harrow,363,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGM,E05000298,Pinner South,Harrow,367,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGN,E05000299,Queensbury,Harrow,362,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGP,E05000300,Rayners Lane,Harrow,371,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGQ,E05000301,Roxbourne,Harrow,345,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGR,E05000302,Roxeth,Harrow,352,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGS,E05000303,Stanmore Park,Harrow,339,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGT,E05000304,Wealdstone,Harrow,336,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AQGU,E05000305,West Harrow,Harrow,341,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGC,E05000306,Brooklands,Havering,335,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGD,E05000307,Cranham,Havering,368,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGE,E05000308,Elm Park,Havering,332,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGF,E05000309,Emerson Park,Havering,363,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGG,E05000310,Gooshays,Havering,308,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGH,E05000311,Hacton,Havering,354,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGJ,E05000312,Harold Wood,Havering,345,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGK,E05000313,Havering Park,Havering,325,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGL,E05000314,Heaton,Havering,320,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGM,E05000315,Hylands,Havering,347,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGN,E05000316,Mawneys,Havering,334,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGP,E05000317,Pettits,Havering,351,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGQ,E05000318,Rainham and Wennington,Havering,327,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGR,E05000319,Romford Town,Havering,345,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGS,E05000320,St Andrew's,Havering,357,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGT,E05000321,South Hornchurch,Havering,331,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGU,E05000322,Squirrel's Heath,Havering,350,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ARGW,E05000323,Upminster,Havering,363,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGG,E05000324,Barnhill,Hillingdon,343,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGH,E05000325,Botwell,Hillingdon,331,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGJ,E05000326,Brunel,Hillingdon,325,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGK,E05000327,Cavendish,Hillingdon,372,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGL,E05000328,Charville,Hillingdon,345,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGM,E05000329,Eastcote and East Ruislip,Hillingdon,358,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGN,E05000330,Harefield,Hillingdon,339,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGP,E05000331,Heathrow Villages,Hillingdon,330,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGQ,E05000332,Hillingdon East,Hillingdon,355,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGR,E05000333,Ickenham,Hillingdon,381,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGS,E05000334,Manor,Hillingdon,355,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGT,E05000335,Northwood,Hillingdon,389,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGU,E05000336,Northwood Hills,Hillingdon,364,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGW,E05000337,Pinkwell,Hillingdon,332,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGX,E05000338,South Ruislip,Hillingdon,352,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGY,E05000339,Townfield,Hillingdon,336,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASGZ,E05000340,Uxbridge North,Hillingdon,371,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASHA,E05000341,Uxbridge South,Hillingdon,353,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASHB,E05000342,West Drayton,Hillingdon,318,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASHC,E05000343,West Ruislip,Hillingdon,362,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASHD,E05000344,Yeading,Hillingdon,330,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ASHE,E05000345,Yiewsley,Hillingdon,319,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATFY,E05000346,Bedfont,Hounslow,332,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATFZ,E05000347,Brentford,Hounslow,354,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGA,E05000348,Chiswick Homefields,Hounslow,362,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGB,E05000349,Chiswick Riverside,Hounslow,376,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGC,E05000350,Cranford,Hounslow,353,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGD,E05000351,Feltham North,Hounslow,338,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGE,E05000352,Feltham West,Hounslow,331,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGF,E05000353,Hanworth,Hounslow,333,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGG,E05000354,Hanworth Park,Hounslow,335,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGH,E05000355,Heston Central,Hounslow,367,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGJ,E05000356,Heston East,Hounslow,351,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGK,E05000357,Heston West,Hounslow,352,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGL,E05000358,Hounslow Central,Hounslow,346,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGM,E05000359,Hounslow Heath,Hounslow,349,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGN,E05000360,Hounslow South,Hounslow,366,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGP,E05000361,Hounslow West,Hounslow,352,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGQ,E05000362,Isleworth,Hounslow,342,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGR,E05000363,Osterley and Spring Grove,Hounslow,380,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGS,E05000364,Syon,Hounslow,358,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ATGT,E05000365,Turnham Green,Hounslow,354,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUFX,E05000366,Barnsbury,Islington,316,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUFY,E05000367,Bunhill,Islington,317,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUFZ,E05000368,Caledonian,Islington,319,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUGA,E05000369,Canonbury,Islington,296,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUGB,E05000370,Clerkenwell,Islington,334,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUGC,E05000371,Finsbury Park,Islington,344,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUGD,E05000372,Highbury East,Islington,344,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUGE,E05000373,Highbury West,Islington,328,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUGF,E05000374,Hillrise,Islington,338,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUGG,E05000375,Holloway,Islington,315,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUGH,E05000376,Junction,Islington,321,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUGJ,E05000377,Mildmay,Islington,334,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUGK,E05000378,St George's,Islington,340,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUGL,E05000379,St Mary's,Islington,312,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUGM,E05000380,St Peter's,Islington,326,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AUGN,E05000381,Tollington,Islington,346,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWFY,E05000382,Abingdon,R B of Kensington and Chelsea,376,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWFZ,E05000383,Brompton,R B of Kensington and Chelsea,395,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGA,E05000384,Campden,R B of Kensington and Chelsea,373,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGB,E05000385,Colville,R B of Kensington and Chelsea,370,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGC,E05000386,Courtfield,R B of Kensington and Chelsea,328,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGD,E05000387,Cremorne,R B of Kensington and Chelsea,361,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGE,E05000388,Earl's Court,R B of Kensington and Chelsea,364,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGF,E05000389,Golborne,R B of Kensington and Chelsea,333,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGG,E05000390,Hans Town,R B of Kensington and Chelsea,354,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGH,E05000391,Holland,R B of Kensington and Chelsea,390,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGJ,E05000392,Norland,R B of Kensington and Chelsea,364,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGK,E05000393,Notting Barns,R B of Kensington and Chelsea,376,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGL,E05000394,Pembridge,R B of Kensington and Chelsea,376,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGM,E05000395,Queen's Gate,R B of Kensington and Chelsea,245,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGN,E05000396,Redcliffe,R B of Kensington and Chelsea,379,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGP,E05000397,Royal Hospital,R B of Kensington and Chelsea,343,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGQ,E05000398,St Charles,R B of Kensington and Chelsea,346,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AWGR,E05000399,Stanley,R B of Kensington and Chelsea,349,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXFX,E05000400,Alexandra,R B of Kingston upon Thames,370,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXFY,E05000401,Berrylands,R B of Kingston upon Thames,357,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXFZ,E05000402,Beverley,R B of Kingston upon Thames,364,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXGA,E05000403,Canbury,R B of Kingston upon Thames,363,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXGB,E05000404,Chessington North and Hook,R B of Kingston upon Thames,342,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXGC,E05000405,Chessington South,R B of Kingston upon Thames,343,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXGD,E05000406,Coombe Hill,R B of Kingston upon Thames,358,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXGE,E05000407,Coombe Vale,R B of Kingston upon Thames,384,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXGF,E05000408,Grove,R B of Kingston upon Thames,341,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXGG,E05000409,Norbiton,R B of Kingston upon Thames,338,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXGH,E05000410,Old Malden,R B of Kingston upon Thames,365,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXGJ,E05000411,St James,R B of Kingston upon Thames,364,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXGK,E05000412,St Mark's,R B of Kingston upon Thames,386,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXGL,E05000413,Surbiton Hill,R B of Kingston upon Thames,342,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXGM,E05000414,Tolworth and Hook Rise,R B of Kingston upon Thames,354,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AXGN,E05000415,Tudor,R B of Kingston upon Thames,391,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYFZ,E05000416,Bishop's,Lambeth,339,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGA,E05000417,Brixton Hill,Lambeth,324,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AYGB,E05000418,Clapham Common,Lambeth,351,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
